Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	-477.074651654	53.0294832298	-556.157802801	-387.748539047	353.160704912	33.0301661554	295.395435457	400.745045214
1	-1071.18082198	61.2143734505	-1176.8242602	-949.030558466	923.997205209	37.8756906057	876.454656161	994.084340036
2	-1272.98017756	77.0522745614	-1396.80929885	-1094.95196045	1118.92945628	74.6178415516	1014.0998383	1241.50327101
3	-1368.80886177	68.1206792765	-1477.26024058	-1203.1952433	1197.54711734	55.7316742603	1064.03867784	1269.33143368
4	-1505.88174261	23.1409286301	-1537.33043064	-1474.41861971	1328.02630026	33.545508695	1272.30276798	1389.99779788
5	-1475.07431019	44.3300487972	-1570.61352551	-1397.7186332	1301.79186164	46.849399759	1220.77960837	1379.24107247
6	-1535.92659128	69.7249317208	-1639.7039	-1423.4162217	1359.44710746	57.2680580291	1250.13893246	1464.96800583
7	-1543.00301783	43.1297805155	-1608.76318526	-1476.42564121	1372.42608228	33.8947941578	1330.04136559	1438.61301813
8	-1547.71667306	51.2816087424	-1617.48153925	-1468.57746709	1368.95043842	50.7071754612	1278.77238497	1442.27539855
9	-1527.80222606	58.3433285244	-1654.37730745	-1465.26269331	1355.11850573	62.2886765989	1292.52805171	1496.55089669
10	-1545.3854677	74.8378192725	-1659.60259773	-1436.4142496	1364.9725561	69.0842178871	1264.72978763	1473.1563508
11	-1556.71637738	43.5133620309	-1605.99504148	-1472.51001628	1375.4398497	32.9856197242	1318.80516445	1428.22344729
12	-1545.65434483	44.4881939877	-1608.12867575	-1461.74358269	1368.40106581	47.7984162193	1302.25188946	1435.67517625
13	-1585.82052563	43.3590411029	-1679.33841432	-1527.7343874	1399.81748402	44.4978420348	1345.65687808	1496.82642738
14	-1554.50082872	32.2339196149	-1614.24787734	-1505.40225592	1362.46472041	35.0955057701	1311.08496385	1420.08910051
